#,Wilayah,Jumlah Stok (Kg),tahun_filter,diambil_pada_utc,Jenis Komoditas,Nama,Alamat
3.0,,9.87,2021,2026-08-31T02:02:38.801378+00:00,Beras Premium,,
,,79.1,2021,2026-08-31T02:02:38.801378+00:00,Total,,
5.0,Kota Yogyakarta,79.1,2022,2026-08-31T02:02:41.811184+00:00,,,
6.0,Kabupaten Sleman,0.0,2022,2026-08-31T02:02:41.811184+00:00,,,
,Total,79.1,2022,2026-08-31T02:02:41.811184+00:00,,,
1.0,,0.0,2022,2026-08-31T02:02:41.811589+00:00,Gabah Kering Giling (GKG),,
2.0,,69.23,2022,2026-08-31T02:02:41.811589+00:00,Beras Medium,,
3.0,,9.87,2022,2026-08-31T02:02:41.811589+00:00,Beras Premium,,
5.0,,0.0,2022,2026-08-31T02:02:41.811589+00:00,Kedelai,,
8.0,,0.0,2022,2026-08-31T02:02:41.811589+00:00,Kacang Tanah,,
,,79.1,2022,2026-08-31T02:02:41.811589+00:00,Total,,
4.0,Kota Yogyakarta,79.1,2023,2026-08-31T02:02:44.785124+00:00,,,
5.0,Kabupaten Sleman,0.0,2023,2026-08-31T02:02:44.785124+00:00,,,
,Total,79.1,2023,2026-08-31T02:02:44.785124+00:00,,,
1.0,,0.0,2023,2026-08-31T02:02:44.785527+00:00,Gabah Kering Giling (GKG),,
2.0,,69.23,2023,2026-08-31T02:02:44.785527+00:00,Beras Medium,,
3.0,,9.87,2023,2026-08-31T02:02:44.785527+00:00,Beras Premium,,
5.0,,0.0,2023,2026-08-31T02:02:44.785527+00:00,Kedelai,,
7.0,,0.0,2023,2026-08-31T02:02:44.785527+00:00,Kacang Tanah,,
,,79.1,2023,2026-08-31T02:02:44.785527+00:00,Total,,
5.0,Kota Yogyakarta,79.1,2024,2026-08-31T02:02:47.644684+00:00,,,
6.0,Kabupaten Sleman,0.0,2024,2026-08-31T02:02:47.644684+00:00,,,
,Total,79.1,2024,2026-08-31T02:02:47.644684+00:00,,,
1.0,,0.0,2024,2026-08-31T02:02:47.645097+00:00,Gabah Kering Giling (GKG),,
2.0,,69.23,2024,2026-08-31T02:02:47.645097+00:00,Beras Medium,,
3.0,,9.87,2024,2026-08-31T02:02:47.645097+00:00,Beras Premium,,
5.0,,0.0,2024,2026-08-31T02:02:47.645097+00:00,Kedelai,,
6.0,,0.0,2024,2026-08-31T02:02:47.645097+00:00,Kacang Tanah,,
,,79.1,2024,2026-08-31T02:02:47.645097+00:00,Total,,
4.0,Kota Yogyakarta,79.1,2025,2026-08-31T02:02:50.379905+00:00,,,
5.0,Kabupaten Sleman,0.0,2025,2026-08-31T02:02:50.379905+00:00,,,
,Total,79.1,2025,2026-08-31T02:02:50.379905+00:00,,,
1.0,,0.0,2025,2026-08-31T02:02:50.380312+00:00,Gabah Kering Giling (GKG),,
2.0,,69.23,2025,2026-08-31T02:02:50.380312+00:00,Beras Medium,,
3.0,,9.87,2025,2026-08-31T02:02:50.380312+00:00,Beras Premium,,
5.0,,0.0,2025,2026-08-31T02:02:50.380312+00:00,Kedelai,,
,,79.1,2025,2026-08-31T02:02:50.380312+00:00,Total,,
5.0,Kota Yogyakarta,79.1,2026,2026-08-31T02:02:53.154199+00:00,,,
6.0,Kabupaten Sleman,0.0,2026,2026-08-31T02:02:53.154199+00:00,,,
,Total,79.1,2026,2026-08-31T02:02:53.154199+00:00,,,
1.0,,0.0,2026,2026-08-31T02:02:53.154584+00:00,Gabah Kering Giling (GKG),,
2.0,,69.23,2026,2026-08-31T02:02:53.154584+00:00,Beras Medium,,
3.0,,9.87,2026,2026-08-31T02:02:53.154584+00:00,Beras Premium,,
5.0,,0.0,2026,2026-08-31T02:02:53.154584+00:00,Kedelai,,
6.0,,0.0,2026,2026-08-31T02:02:53.154584+00:00,Kacang Tanah,,
