tanggal,kabupaten_kota,pasar,komoditas,varian,satuan,harga,diambil_pada_utc
2024-02-02,Kota Yogyakarta,Pasar Beringharjo,Daging Ayam,Daging Ayam Kampung,ekor,110000,2026-08-31
2024-02-02,Kota Yogyakarta,Pasar Beringharjo,Daging Ayam,Daging Ayam Ras,kg,34000,2026-08-31
2024-02-02,Kota Yogyakarta,Pasar Beringharjo,Daging Ruminansia,Daging Sapi Paha Belakang,kg,130000,2026-08-31
2024-02-02,Kota Yogyakarta,Pasar Beringharjo,Daging Ruminansia,Daging Sapi Paha Depan,kg,130000,2026-08-31
2024-02-02,Kota Yogyakarta,Pasar Beringharjo,Daging Ruminansia,Daging Sapi Sandung Lamur,kg,80000,2026-08-31
2024-02-02,Kota Yogyakarta,Pasar Beringharjo,Daging Ruminansia,Daging Sapi Tetelan,kg,70000,2026-08-31
2024-02-02,Kota Yogyakarta,Pasar Beringharjo,Garam,Garam Halus,kg,12000,2026-08-31
2024-02-02,Kota Yogyakarta,Pasar Beringharjo,Gula,Gula Pasir Curah,kg,17000,2026-08-31
2024-02-02,Kota Yogyakarta,Pasar Beringharjo,Gula,Gula Pasir Kemasan,kg,18000,2026-08-31
2024-02-02,Kota Yogyakarta,Pasar Beringharjo,Ikan,Ikan Bandeng,kg,44000,2026-08-31
2024-02-02,Kota Yogyakarta,Pasar Beringharjo,Ikan,Ikan Teri,kg,36000,2026-08-31
2024-02-02,Kota Yogyakarta,Pasar Beringharjo,Ikan,Ikan Tongkol,kg,35000,2026-08-31
2024-02-02,Kota Yogyakarta,Pasar Beringharjo,Jeruk,Jeruk Lokal,kg,21000,2026-08-31
2024-02-02,Kota Yogyakarta,Pasar Beringharjo,Kacang Panjang,Kacang Panjang,kg,7000,2026-08-31
2024-02-02,Kota Yogyakarta,Pasar Beringharjo,Kacang-Kacangan,Kacang Hijau,kg,23000,2026-08-31
2024-02-02,Kota Yogyakarta,Pasar Beringharjo,Kacang-Kacangan,Kacang Tanah,kg,31000,2026-08-31
2024-02-02,Kota Yogyakarta,Pasar Beringharjo,Kangkung,Kangkung,kg,6000,2026-08-31
2024-02-02,Kota Yogyakarta,Pasar Beringharjo,Kedelai,Kedelai Impor,kg,11500,2026-08-31
2024-02-02,Kota Yogyakarta,Pasar Beringharjo,Kedelai,Kedelai Lokal,kg,11500,2026-08-31
2024-02-02,Kota Yogyakarta,Pasar Beringharjo,Kedelai,Tahu Putih,kg,16333,2026-08-31
2024-02-02,Kota Yogyakarta,Pasar Beringharjo,Kedelai,Tempe Bungkus,kg,16500,2026-08-31
2024-02-02,Kota Yogyakarta,Pasar Beringharjo,Kentang,Kentang Sedang,kg,20000,2026-08-31
2024-02-02,Kota Yogyakarta,Pasar Beringharjo,Ketela Pohon,Ketela Pohon,kg,7000,2026-08-31
2024-02-02,Kota Yogyakarta,Pasar Beringharjo,Ketimun,Ketimun Sedang,kg,6000,2026-08-31
2024-02-02,Kota Yogyakarta,Pasar Beringharjo,Mie Instan,Mie Instan,bks,3000,2026-08-31
