fetched_at_utc,kabupaten_kota,adm4,waktu_lokal,suhu_c,kelembapan_persen,cuaca_desc,curah_hujan_mm,kecepatan_angin_kmh
2026-08-30T08:49:03.443130+00:00,Kabupaten Gunungkidul,34.03.01.2001,2026-08-30 21:00:00,24,88,Cerah Berawan,0,10.2
2026-08-30T08:49:03.443130+00:00,Kabupaten Gunungkidul,34.03.01.2001,2026-08-31 00:00:00,22,93,Cerah Berawan,0,2.8
2026-08-30T08:49:03.443130+00:00,Kabupaten Gunungkidul,34.03.01.2001,2026-08-31 03:00:00,19,98,Cerah,0,2.8
2026-08-30T08:49:03.443130+00:00,Kabupaten Gunungkidul,34.03.01.2001,2026-08-31 06:00:00,24,85,Cerah,0,3.4
2026-08-30T08:49:03.443130+00:00,Kabupaten Gunungkidul,34.03.01.2001,2026-08-31 09:00:00,30,50,Cerah,0,5
2026-08-30T08:49:03.443130+00:00,Kabupaten Gunungkidul,34.03.01.2001,2026-08-31 12:00:00,32,53,Cerah,0,18.8
2026-08-30T08:49:03.443130+00:00,Kabupaten Gunungkidul,34.03.01.2001,2026-08-31 15:00:00,28,67,Cerah,0.2,21.6
2026-08-30T08:49:03.443130+00:00,Kabupaten Gunungkidul,34.03.01.2001,2026-08-31 18:00:00,24,83,Cerah,0,16.2
2026-08-30T08:49:03.443130+00:00,Kabupaten Gunungkidul,34.03.01.2001,2026-08-31 21:00:00,24,88,Cerah,0,15.9
2026-08-30T08:49:03.443130+00:00,Kabupaten Gunungkidul,34.03.01.2001,2026-09-01 00:00:00,23,91,Cerah,0,12.4
2026-08-30T08:49:03.443130+00:00,Kabupaten Gunungkidul,34.03.01.2001,2026-09-01 03:00:00,19,93,Cerah,0,9.5
2026-08-30T08:49:03.443130+00:00,Kabupaten Gunungkidul,34.03.01.2001,2026-09-01 06:00:00,24,78,Cerah,0,11.4
2026-08-30T08:49:03.443130+00:00,Kabupaten Gunungkidul,34.03.01.2001,2026-09-01 09:00:00,30,51,Cerah,0,11.4
2026-08-30T08:49:03.443130+00:00,Kabupaten Gunungkidul,34.03.01.2001,2026-09-01 12:00:00,32,50,Cerah,0,18.5
2026-08-30T08:49:03.443130+00:00,Kabupaten Gunungkidul,34.03.01.2001,2026-09-01 15:00:00,28,63,Cerah,0,18.5
2026-08-30T08:49:03.443130+00:00,Kabupaten Gunungkidul,34.03.01.2001,2026-09-01 18:00:00,25,81,Cerah,0,19.1
2026-08-30T08:49:03.443130+00:00,Kabupaten Gunungkidul,34.03.01.2001,2026-09-01 21:00:00,22,87,Cerah,0,19.1
2026-08-30T09:23:16.470338+00:00,Kota Yogyakarta,34.71.10.1001,2026-08-30 17:00:00,27,70,Cerah,0,6.6
2026-08-30T09:23:16.470338+00:00,Kota Yogyakarta,34.71.10.1001,2026-08-30 20:00:00,25,79,Cerah Berawan,0,0.8
2026-08-30T09:23:16.470338+00:00,Kota Yogyakarta,34.71.10.1001,2026-08-30 23:00:00,24,85,Cerah,0,3.6
2026-08-30T09:23:16.470338+00:00,Kota Yogyakarta,34.71.10.1001,2026-08-31 02:00:00,22,89,Cerah Berawan,0,1
