periode,periode_mulai,periode_selesai,provinsi,kabupaten_kota,kecamatan,kode_wilayah,bera_ha,persiapan_lahan_ha,tanam_ha,vegetatif_1_ha,vegetatif_2_ha,generatif_1_ha,generatif_2_ha,panen_ha,total_luas_ha,sumber_layer,diambil_pada_utc
7 - 18 April 2026,2026-04-07,2026-04-18,Daerah Istimewa Yogyakarta,Sleman,Turi,340415,181.569,6.381,7.926,16.525,15.114,12.158,26.533,21.764,287.97,simontadi2/18,2026-08-30T16:43:22.197914+00:00
7 - 18 April 2026,2026-04-07,2026-04-18,Daerah Istimewa Yogyakarta,Sleman,Pakem,340416,471.583,21.501,18.813,61.003,74.316,55.69,92.754,69.128,864.788,simontadi2/18,2026-08-30T16:43:22.197914+00:00
7 - 18 April 2026,2026-04-07,2026-04-18,Daerah Istimewa Yogyakarta,Sleman,Cangkringan,340417,280.487,21.794,21.848,32.8,45.113,81.454,167.867,97.527,748.89,simontadi2/18,2026-08-30T16:43:22.197914+00:00
7 - 18 April 2026,2026-04-07,2026-04-18,Daerah Istimewa Yogyakarta,Kota Yogyakarta,Tegalrejo,347101,0.54,0.0,0.09,0.495,2.384,0.81,1.754,0.0,6.073,simontadi2/18,2026-08-30T16:43:22.197914+00:00
7 - 18 April 2026,2026-04-07,2026-04-18,Daerah Istimewa Yogyakarta,Kota Yogyakarta,Jetis,347102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,simontadi2/18,2026-08-30T16:43:22.197914+00:00
7 - 18 April 2026,2026-04-07,2026-04-18,Daerah Istimewa Yogyakarta,Kota Yogyakarta,Gondokusuman,347103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,simontadi2/18,2026-08-30T16:43:22.197914+00:00
7 - 18 April 2026,2026-04-07,2026-04-18,Daerah Istimewa Yogyakarta,Kota Yogyakarta,Danurejan,347104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,simontadi2/18,2026-08-30T16:43:22.197914+00:00
7 - 18 April 2026,2026-04-07,2026-04-18,Daerah Istimewa Yogyakarta,Kota Yogyakarta,Gedongtengen,347105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,simontadi2/18,2026-08-30T16:43:22.197914+00:00
7 - 18 April 2026,2026-04-07,2026-04-18,Daerah Istimewa Yogyakarta,Kota Yogyakarta,Ngampilan,347106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,simontadi2/18,2026-08-30T16:43:22.197914+00:00
7 - 18 April 2026,2026-04-07,2026-04-18,Daerah Istimewa Yogyakarta,Kota Yogyakarta,Wirobrajan,347107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,simontadi2/18,2026-08-30T16:43:22.197914+00:00
7 - 18 April 2026,2026-04-07,2026-04-18,Daerah Istimewa Yogyakarta,Kota Yogyakarta,Mantrijeron,347108,0.229,0.0,0.0,0.046,0.0,0.0,0.138,0.0,0.413,simontadi2/18,2026-08-30T16:43:22.197914+00:00
7 - 18 April 2026,2026-04-07,2026-04-18,Daerah Istimewa Yogyakarta,Kota Yogyakarta,Kraton,347109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,simontadi2/18,2026-08-30T16:43:22.197914+00:00
7 - 18 April 2026,2026-04-07,2026-04-18,Daerah Istimewa Yogyakarta,Kota Yogyakarta,Gondomanan,347110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,simontadi2/18,2026-08-30T16:43:22.197914+00:00
7 - 18 April 2026,2026-04-07,2026-04-18,Daerah Istimewa Yogyakarta,Kota Yogyakarta,Pakualaman,347111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,simontadi2/18,2026-08-30T16:43:22.197914+00:00
7 - 18 April 2026,2026-04-07,2026-04-18,Daerah Istimewa Yogyakarta,Kota Yogyakarta,Mergangsan,347112,2.526,0.572,0.143,0.095,0.048,0.0,0.0,0.0,3.384,simontadi2/18,2026-08-30T16:43:22.197914+00:00
7 - 18 April 2026,2026-04-07,2026-04-18,Daerah Istimewa Yogyakarta,Kota Yogyakarta,Umbulharjo,347113,8.619,0.329,0.165,1.812,0.384,0.165,1.263,0.659,13.396,simontadi2/18,2026-08-30T16:43:22.197914+00:00
