tanggal,varian,harga,sebaran_pasar,n_pasar,satuan,komoditas
2024-02-12,Bawang Putih Honan,33867.0,1192.6,5,kg,Bawang
2024-02-12,Bawang Putih Kating,39667.0,849.8,5,kg,Bawang
2024-02-12,Beras Khusus,22083.0,589.3,2,kg,Beras
2024-02-12,Beras Medium,14422.0,1107.1,5,kg,Beras
2024-02-12,Beras Premium,16144.0,1181.5,3,kg,Beras
2024-02-12,Beras SPHP Bulog,10900.0,70.7,5,kg,Beras
2024-02-12,Cabai Merah Besar,80667.0,9027.7,5,kg,Cabai
2024-02-12,Cabai Merah Keriting,57133.0,15036.3,5,kg,Cabai
2024-02-12,Cabai Rawit Hijau,36067.0,3810.8,5,kg,Cabai
2024-02-12,Cabai Rawit Merah,49667.0,1027.4,5,kg,Cabai
2024-02-12,Daging Ayam Kampung,98200.0,9934.8,5,ekor,Daging Ayam
2024-02-12,Daging Ayam Ras,35400.0,434.6,5,kg,Daging Ayam
2024-02-12,Daging Sapi Paha Belakang,132000.0,2738.6,5,kg,Daging Ruminansia
2024-02-12,Daging Sapi Paha Depan,125000.0,14142.1,5,kg,Daging Ruminansia
2024-02-12,Daging Sapi Sandung Lamur,93333.0,17360.6,5,kg,Daging Ruminansia
2024-02-12,Daging Sapi Tetelan,68333.0,19720.3,4,kg,Daging Ruminansia
2024-02-12,Garam Halus,12600.0,2190.9,5,kg,Garam
2024-02-12,Gula Pasir Curah,16800.0,273.9,5,kg,Gula
2024-02-12,Gula Pasir Kemasan,17500.0,707.1,5,kg,Gula
2024-02-12,Ikan Bandeng,37533.0,5923.6,5,kg,Ikan
2024-02-12,Ikan Kembung,33500.0,235.7,2,kg,Ikan
2024-02-12,Ikan Teri,54467.0,15309.0,5,kg,Ikan
2024-02-12,Ikan Tongkol,33133.0,3271.1,5,kg,Ikan
2024-02-12,Jagung Lokal Pipilan,10667.0,471.4,2,kg,Jagung
2024-02-12,Jeruk Lokal,21983.0,1979.4,5,kg,Jeruk
2024-02-12,Kacang Hijau,21600.0,1362.2,5,kg,Kacang-Kacangan
2024-02-12,Kacang Panjang,8400.0,1140.2,5,kg,Kacang Panjang
2024-02-12,Kacang Tanah,28600.0,1831.8,5,kg,Kacang-Kacangan
2024-02-12,Kangkung,7800.0,1788.9,5,kg,Kangkung
2024-02-12,Kedelai Impor,13050.0,1905.4,5,kg,Kedelai
2024-02-12,Kedelai Lokal,14444.0,4857.2,3,kg,Kedelai
2024-02-12,Kentang Sedang,20000.0,707.1,5,kg,Kentang
2024-02-12,Ketela Pohon,6200.0,836.7,5,kg,Ketela Pohon
2024-02-12,Ketimun Sedang,7500.0,1000.0,5,kg,Ketimun
2024-02-12,Mie Instan,3080.0,178.9,5,bks,Mie Instan
2024-02-12,Minyak Goreng Sawit Curah,15467.0,649.8,5,lt,Minyak Sawit
2024-02-12,Minyak Goreng Sawit Kemasan Premium,18467.0,1660.0,5,lt,Minyak Sawit
